"Tarih","Saat","Tüketim Miktarý (MWh)"
"06.06.2022","00:00","32.197,83"
"06.06.2022","01:00","30.557,31"
"06.06.2022","02:00","29.419,62"
"06.06.2022","03:00","28.836,49"
"06.06.2022","04:00","28.471,16"
"06.06.2022","05:00","27.885,92"
"06.06.2022","06:00","28.334,76"
"06.06.2022","07:00","31.463,33"
"06.06.2022","08:00","38.265,98"
"06.06.2022","09:00","41.855,42"
"06.06.2022","10:00","43.149,82"
"06.06.2022","11:00","44.157,49"
"06.06.2022","12:00","42.521,92"
"06.06.2022","13:00","43.308,64"
"06.06.2022","14:00","44.328,82"
"06.06.2022","15:00","43.875,45"
"06.06.2022","16:00","43.624,70"
"06.06.2022","17:00","42.335,34"
"06.06.2022","18:00","40.155,79"
"06.06.2022","19:00","39.669,15"
"06.06.2022","20:00","40.664,02"
"06.06.2022","21:00","40.444,73"
"06.06.2022","22:00","39.200,61"
"06.06.2022","23:00","37.595,28"
"07.06.2022","00:00","35.045,13"
"07.06.2022","01:00","33.499,90"
"07.06.2022","02:00","32.307,30"
"07.06.2022","03:00","31.610,71"
"07.06.2022","04:00","31.165,59"
"07.06.2022","05:00","30.168,66"
"07.06.2022","06:00","30.485,25"
"07.06.2022","07:00","32.981,76"
"07.06.2022","08:00","38.734,03"
"07.06.2022","09:00","41.483,58"
"07.06.2022","10:00","42.537,39"
"07.06.2022","11:00","43.426,20"
"07.06.2022","12:00","41.924,05"
"07.06.2022","13:00","42.721,21"
"07.06.2022","14:00","43.676,33"
"07.06.2022","15:00","43.234,70"
"07.06.2022","16:00","42.764,07"
"07.06.2022","17:00","41.497,62"
"07.06.2022","18:00","39.879,34"
"07.06.2022","19:00","39.170,70"
"07.06.2022","20:00","40.177,45"
"07.06.2022","21:00","40.050,94"
"07.06.2022","22:00","38.738,73"
"07.06.2022","23:00","37.259,00"
"08.06.2022","00:00","35.012,73"
"08.06.2022","01:00","33.298,41"
"08.06.2022","02:00","32.150,07"
"08.06.2022","03:00","31.302,95"
"08.06.2022","04:00","30.970,22"
"08.06.2022","05:00","30.045,52"
"08.06.2022","06:00","30.389,59"
"08.06.2022","07:00","32.871,17"
"08.06.2022","08:00","38.444,35"
"08.06.2022","09:00","41.454,34"
"08.06.2022","10:00","42.397,10"
"08.06.2022","11:00","43.265,43"
"08.06.2022","12:00","41.735,60"
"08.06.2022","13:00","42.366,21"
"08.06.2022","14:00","43.279,11"
"08.06.2022","15:00","42.744,48"
"08.06.2022","16:00","42.573,09"
"08.06.2022","17:00","41.486,48"
"08.06.2022","18:00","39.793,46"
"08.06.2022","19:00","39.504,11"
"08.06.2022","20:00","39.932,05"
"08.06.2022","21:00","39.893,51"
"08.06.2022","22:00","38.498,95"
"08.06.2022","23:00","36.621,66"
